datetime,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020/3/31,58313,35943,22370,4565,4952,45460,12853,282,13135,1886,11249,11249,11249,15639,12853,17440.4,17618.76,0.645,0.6375,1.496,0.5318,1.3963,38.3619,22.0414,22.0414,22.525,19.2907,0.182,10.7807,1.9009,47.3467,14.3436,14.3436,3.5109,6.7154,4.5343,0.7749,0.6684
2019/12/31,91819,56602,35217,4451,5197,66250,25569,349,25918,3682,22236,22236,22236,28385,25569,17660.16,17818.42,1.26,1.2475,1.5978,0.5097,1.2095,38.3548,27.8472,27.8472,28.2273,24.2172,0.2696,13.8155,2.2986,39.1546,24.8361,24.8361,6.5281,12.1768,5.1044,1.7126,1.5944
2019/9/30,64040,39727,24313,4110,4578,48415,15625,502,16127,2441,13686,13686,13686,18804,15625,18471.34,18595.65,0.7675,0.765,1.5401,0.5036,1.194,37.9653,24.3988,24.3988,25.1827,21.371,0.1892,9.6754,1.3981,64.3716,15.1247,15.1247,4.0429,7.5076,5.0913,1.0432,0.8982
2019/6/30,53809,33582,20227,4257,4426,42265,11544,367,11911,1867,10044,10044,10044,14477,11544,18282.53,18405.52,0.55,0.545,1.5046,0.4682,1.124,37.5904,21.4537,21.4537,22.1357,18.666,0.167,10.0095,2.0325,44.28,10.413,10.413,3.1169,5.5372,5.3215,0.6756,0.5604
2019/3/31,58015,36194,21821,3948,4458,44600,13415,378,13793,2232,11561,11561,11561,16455,13415,18696.28,18802.58,0.6175,0.615,1.3154,0.4601,1.064,37.6127,23.1233,23.1233,23.7749,19.9276,0.1696,7.4107,2.2077,40.7657,10.921,10.921,3.3804,5.8966,5.7442,0.6149,0.4864
2018/12/31,84310,52279,32031,3902,4783,60964,23346,560,23906,3941,19965,19965,19965,26741,23346,18943.28,19093.01,1.055,1.045,1.3006,0.441,0.9732,37.9919,27.6907,27.6907,28.3549,23.6805,0.2256,10.481,2.2798,39.4768,16.935,16.935,5.3422,9.4674,6.2313,1.3979,1.2222
2018/9/30,62900,38816,24084,3750,4216,46782,16118,303,16421,2296,14125,14125,14125,18872,16118,19821.51,20000.44,0.7425,0.74,1.1329,0.4666,1.0685,38.2894,25.6248,25.6248,26.1065,22.4563,0.172,9.8119,1.2838,70.1041,13.1828,13.1828,3.8622,7.0315,5.6334,0.9329,0.7886
2018/6/30,53265,32844,20421,3701,4108,40653,12612,672,13284,1765,11519,11519,11519,15277,12612,19528.67,19706.44,0.59,0.585,1.3073,0.458,0.997,38.3385,23.6778,23.6778,24.9395,21.6258,0.1525,5.533,2.0201,44.5514,10.021,10.021,3.2987,5.4315,5.9339,0.7969,0.6211
2018/3/31,61137,37715,23422,3378,4150,45243,15894,274,16168,2346,13822,13822,13822,18633,15894,20099.51,20273.97,0.6875,0.6825,1.456,0.4441,0.9603,38.3107,25.9974,25.9974,26.4455,22.6082,0.1664,4.9223,2.7284,32.9869,10.8939,10.8939,3.7611,6.0559,6.4167,0.7704,0.5611
2017/12/31,88293,54381,33912,3407,4231,62019,26274,756,27030,6965,20065,20065,20065,29019,26274,20451.51,20631.15,0.98,0.9725,1.242,0.4257,0.873,38.4085,29.7577,29.7577,30.614,22.7255,0.217,12.3006,1.7347,51.8831,14.3118,15.1822,4.9325,8.2193,6.8973,1.3714,1.2352
2017/9/30,52579,32648,19931,2997,3814,39459,13120,797,13917,3203,10714,10714,10714,15604,13120,20868.97,21006.77,0.525,0.52,1.2761,0.4203,0.863,37.9068,24.9529,24.9529,26.4687,20.377,0.1401,6.7246,1.4739,61.0618,7.9927,7.9927,2.8546,4.633,6.5373,0.7416,0.5591
2017/6/30,45408,27920,17488,2937,3783,34640,10768,540,11308,2591,8717,8717,8717,13122,10768,20780.35,20934,0.42,0.4175,1.3883,0.4043,0.8181,38.513,23.7139,23.7139,24.9031,19.1971,0.1316,8.8748,2.0064,44.8573,6.5826,7.0117,2.5254,3.9215,6.4038,0.4245,0.314
2017/3/31,52896,32305,20591,2776,3718,38799,14097,587,14684,3655,11029,11029,11029,16429,14097,20903.16,21046.75,0.5275,0.525,1.3906,0.3867,0.7348,38.9273,26.6504,26.6504,27.7601,20.8504,0.1581,11.1014,2.5663,35.0703,8.2256,8.7537,3.2968,5.045,6.439,0.6133,0.4701
